0,487995
1,8620
2,9687
3,10504
4,7552
5,12812
6,7239
7,11198
8,16771
9,11693
10,10495
11,9140
12,8689
13,8046
14,8295
15,11033
16,12809
17,6425
18,5955
19,8203
20,5859
21,6897
22,5859
23,7005
24,9739
25,6015
26,6198
27,6979
28,6818
29,7813
30,6718
31,6692
32,233993
33,7555
34,5365
35,9063
36,5781
37,7605
38,5730
39,8542
40,24739
41,8229
42,8648
43,12917
44,9371
45,9791
46,5970
47,9166
48,7804
49,6547
50,9115
51,6406
52,6406
53,6667
54,8073
55,7604
56,16458
57,7500
58,7967
59,7391
60,5938
61,7761
62,7233
63,6459
64,22031
65,6094
66,6237
67,7810
68,6919
69,6198
70,6042
71,5938
72,12552
73,6980
74,6757
75,8904
76,6510
77,9323
78,5447
79,7396
80,8750
81,6809
82,5761
83,10208
84,6667
85,10781
86,6076
87,7031
88,7856
89,7176
90,5938
91,6875
92,6338
93,7240
94,6198
95,9061
96,57969
97,6181
98,5937
99,6823
100,6861
101,7240
102,7594
103,8590
104,8852
105,6250
106,6354
107,6979
108,9742
109,5761
110,10685
111,5990
112,9270
113,5886
114,10625
115,5971
116,7552
117,5937
118,7188
119,6285
120,13333
121,7077
122,5871
123,7915
124,6448
125,7705
126,5923
127,6719
128,44948
129,6458
130,5608
131,6133
132,6290
133,5766
134,7396
135,7031
136,20208
137,8066
138,8907
139,7071
140,9532
141,5604
142,9584
143,7281
144,7708
145,5156
146,6233
147,6389
148,7187
149,7604
150,6719
151,6651
152,13042
153,5500
154,6494
155,6407
156,8229
157,7280
158,6979
159,8229
160,13073
161,5417
162,7812
163,5261
164,7865
165,5709
166,7188
167,6823
168,11511
169,5573
170,7239
171,5573
172,8281
173,9375
174,10318
175,6354
176,11198
177,8906
178,6823
179,6965
180,6756
181,5970
182,6823
183,6752
184,9636
185,5757
186,6406
187,7605
188,6042
189,7604
190,6042
191,6458
192,7903
193,6979
194,6719
195,7292
196,6875
197,7537
198,6804
199,6823
200,11250
201,5573
202,6667
203,6250
204,6752
205,5886
206,8229
207,6927
208,15625
209,8427
210,6354
211,6927
212,6303
213,7222
214,5990
215,6823
216,8845
217,6490
218,6647
219,6875
220,7746
221,5938
222,6303
223,6563
224,12500
225,7343
226,10101
227,5990
228,6510
229,7605
230,7761
231,6302
232,11927
233,6198
234,6510
235,9375
236,5417
237,6563
238,6281
239,7448
240,8270
241,7552
242,5730
243,7083
244,6124
245,7432
246,7344
247,7344
248,9106
249,7448
250,6699
251,7013
252,17917
253,8636
254,7031
255,8489
256,757761
257,6447
258,5365
259,9167
260,6919
261,7604
262,5260
263,6919
264,13033
265,9375
266,6438
267,8060
268,5810
269,7118
270,5781
271,6281
272,7485
273,6333
274,7380
275,6928
276,5625
277,6962
278,6041
279,7380
280,16355
281,6542
282,7380
283,7604
284,5677
285,7903
286,7013
287,6666
288,7328
289,8437
290,5937
291,8229
292,6615
293,7448
294,5833
295,8333
296,8050
297,7084
298,8385
299,6615
300,6904
301,7968
302,5572
303,6800
304,20156
305,5573
306,5231
307,8212
308,6120
309,7166
310,5597
311,7188
312,13234
313,6458
314,8382
315,8113
316,8854
317,6823
318,6562
319,6643
320,10328
321,7541
322,7934
323,5926
324,6927
325,7344
326,6748
327,5260
1538,1218514
1539,10698
16692,396340
16693,14278
